Name,TID,TicketsInWinGamesDraw,TicketsInCollabDraw,TicketsInPresentDraw,Rarity,IsRarityOfferContainer,GroupType,ShuffleRandomizeRewards,CustomRewards,IsOverchargeDraw,IsRankedDraw,CollabId,MultiDropCount,CombineCurrencies,SplitCount0Tickets,SplitCount1Tickets,SplitCount2Tickets,SplitCount3Tickets,PremiumDrawCountForMultiDrops,SCW,VisualType,TransitionExportName,SCFilename,TargetClip,SlashesNeeded,SlashClawEffect,SlashClawShadow,SlashClawCount,SoundSlash,CustomBgExportName,BackgroundFrameLabel,ChargeProgressClip,HoldChargeEffect,TouchEffectFilename,TouchEffectExportName,TapEffectClip1,TapEffectClip2,TapEffectClip3,TapEffectClipBg,UpgradeEffectClip,UpgradeEffectClipBg,FinalContainerEffectClip,FinalContainerEffectClipBg,OpeningEffectClip,OpeningEffectClipBg,RewardsLeftIcon,OpeningInstruction,Intro3DAnimStart,Intro3DAnimEnd,Idle3DAnimStart,Idle3DAnimEnd,Miss3DAnimStart,Miss3DAnimEnd,Upgrade3DAnimStart,Upgrade3DAnimEnd,Open3DAnimStart,Open3DAnimEnd,SoundAppear,SoundCharge,SoundMiss,SoundUpgrade,SoundReadyToOpen,SoundReadyToOpen2,SoundOpen,FaceFileName,FaceIdleExportName,FaceUpgradeExportName,FaceOpenExportName,SoloOfferDefaultBgFrameName,SoloOfferDefaultTitleTID,RarityFrameLabel,AnimationSCW,PiggyTap1,PiggyTap2,PiggyTap3,PiggyTap4,PiggyTapBackground1,PiggyTapBackground2,PiggyTapBackground3,PiggyTapBackground4,PiggyTapBackgroundFinal,PiggyTapBackgroundFinalBg,CustomAnimationNames,CustomAnimationStartFrames,CustomAnimationEndFrames,DescriptionExportName,GachaSummaryExportNameOverride
String,String,int,int,int,int,boolean,String,boolean,boolean,boolean,boolean,int,int,,int,int,int,int,int,String,String,String,String,String,int,String,boolean,int,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,int,int,int,int,int,int,int,int,int,int,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,int,int,String,String
RareStar,TID_SHOP_OFFER_TITLE_50,,,,1,TRUE,,,,TRUE,,,1,TRUE,,,,,1,sc3d/bbox_10.scw,CHEST,gacha_whiteflash,,,,,,,,gatcha_screen_lootbox_appear,no_rarity,,,,,,,,,,,,,,,gacha_random_reward_icon,,,,,,,,,,,,Roll,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Rare_VO,Reveal_epic,Demonic_Spawn_Item,,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_rare,TID_SHOP_GATCHA_BOX_2,level_1,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
SuperRareStar,TID_SHOP_OFFER_TITLE_50,,,,2,TRUE,,,,TRUE,,,,TRUE,,,,,,sc3d/bbox_10.scw,CHEST,gacha_whiteflash,,,,,,,,gatcha_screen_lootbox_appear,no_rarity,,,,,,,,,,,,,,,gacha_random_reward_icon,,,,,,,,,,,,Roll,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Super_Rare_VO,Reveal_epic,Demonic_Spawn_Item,,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_rare,TID_SHOP_GATCHA_BOX_2,level_1,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
EpicStar,TID_SHOP_OFFER_TITLE_50,,,,3,TRUE,,,,TRUE,,,,TRUE,,,,,,sc3d/bbox_10.scw,CHEST,gacha_whiteflash,,,,,,,,gatcha_screen_lootbox_appear,no_rarity,,,,,,,,,,,,,,,gacha_random_reward_icon,,,,,,,,,,,,Roll,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Epic_VO,Reveal_epic,Demonic_Spawn_Item,,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_rare,TID_SHOP_GATCHA_BOX_1,level_1,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
MythicStar,TID_SHOP_OFFER_TITLE_14,,,,4,TRUE,,,,TRUE,,,,TRUE,,,,,,sc3d/bbox_10.scw,CHEST,gacha_whiteflash,,,,,,,,gatcha_screen_lootbox_appear,no_rarity,,,,,,,,,,,,,,,gacha_random_reward_icon,,,,,,,,,,,,Roll,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Mythic_VO,Reveal_epic,Demonic_Spawn_Item,,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_super_rare,TID_SHOP_GATCHA_BOX_1,level_2,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
LegendaryStar,TID_SHOP_OFFER_TITLE_14,,,,5,TRUE,,,,TRUE,,,,TRUE,,,,,,sc3d/bbox_10.scw,CHEST,gacha_whiteflash,,,,,,,,gatcha_screen_lootbox_appear,no_rarity,,,,,,,,,,,,,,,gacha_random_reward_icon,,,,,,,,,,,,Roll,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Legendary_VO,Reveal_epic,Demonic_Spawn_Item,,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_super_rare,TID_SHOP_GATCHA_BOX_2,level_2,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
OverchargeStar,TID_SHOP_STARR_DROP_OVERCHARGE,,,,,,,,,TRUE,,,,TRUE,,,,,,sc3d/overcharged_reward_geo.glb,,,,,,,,,,overcharge,overcharge,,,,gacha_vfx_tap,,,gacha_vfx_tap,,,,gacha_vfx_legendary,gacha_vfx_legendary_bg,gacha_vfx_open,gacha_vfx_open_bg,gacha_random_reward_icon,,0,11,15,45,65,75,85,120,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Legendary_VO,Reveal_legendary,UI_Meta_Star_Tap_Explode,characters.sc,starr_01_idle,starr_01_change,starr_01_final,,,overcharge,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
ClubPiggyBank,,,,,,,,,,TRUE,,,,,,,,,,sc3d/ui_golden_pig_geo.glb,PIGGYBANK,,,,,,,,,,,,,,,gacha_vfx_tap,,,,,,,,,,gacha_random_reward_icon,,,,200,399,73,91,,,99,160,,,Piggybank_Tap,,,,Piggybank_Explosion_Jingle,ui.sc,,,,,,,sc3d/ui_golden_pig_anim.glb,piggybank_vfx_crack_01,piggybank_vfx_crack_02,piggybank_vfx_crack_03,piggybank_vfx_crack_04,piggybank_vfx_crack_01_tab,piggybank_vfx_crack_02_tab,piggybank_vfx_crack_03_tab,piggybank_vfx_crack_04_tab,gacha_vfx_piggy_open,gacha_vfx_piggy_bg,SMALL_DROP,0,19,,gatcha_summary_redirecter_brawler_box
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG_DROP,29,69,,gatcha_summary_redirecter_brawler_box
RankedStar,TID_SHOP_STARR_DROP_RANKED,,,,,,,,,TRUE,,,,TRUE,,,,,,sc3d/ranked_rng_reward.glb,,,,,,,,,,,ranked,,,,,gacha_vfx_tap,,,,,,gacha_vfx_mythic,gacha_vfx_mythic_bg,gacha_vfx_open,gacha_vfx_open_bg,gacha_random_reward_icon,,0,29,39,73,75,94,75,94,119,152,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Mythic_VO,Reveal_epic,UI_Meta_Star_Tap_Explode,characters.sc,ranked_reward_idle,,ranked_reward_final,offer_rarity_mythic,TID_SHOP_STARR_DROP_MYTHIC,ranked,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
RareCollabDrop,TID_SHOP_OFFER_TITLE_60,,,40,1,,,,,,,7,,TRUE,,,,,,,SLASHING,,sc/collab_godzilla.sc,collab_godzilla_random_reward_opening,4,,TRUE,4,Eggslash_Sfx_01,collab_godzilla_random_reward_opening_bg,rare,,,,,gacha_vfx_tap,,,,,,gacha_vfx_rare,gacha_vfx_rare_bg,gacha_vfx_open,gacha_vfx_open_light_bg,gacha_random_reward_icon,,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Rare_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_rare,TID_SHOP_STARR_DROP_RARE,rare,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
SuperRareCollabDrop,TID_SHOP_OFFER_TITLE_60,,,25,2,,,,,,,7,,TRUE,,,,,,,SLASHING,,sc/collab_godzilla.sc,collab_godzilla_random_reward_opening,4,,TRUE,4,Eggslash_Sfx_05,collab_godzilla_random_reward_opening_bg,super_rare,,,,,gacha_vfx_tap,,,,,,gacha_vfx_superrare,gacha_vfx_superrare_bg,gacha_vfx_open,gacha_vfx_open_light_bg,gacha_random_reward_icon,,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Super_Rare_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_super_rare,TID_SHOP_STARR_DROP_SUPER_RARE,super_rare,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
EpicCollabDrop,TID_SHOP_OFFER_TITLE_60,,,20,3,,,,,,,7,,TRUE,,,,,,,SLASHING,,sc/collab_godzilla.sc,collab_godzilla_random_reward_opening,5,,TRUE,4,Eggslash_Sfx_09,collab_godzilla_random_reward_opening_bg,epic,,,,,gacha_vfx_tap,,,,,,gacha_vfx_epic,gacha_vfx_epic_bg,gacha_vfx_open,gacha_vfx_open_light_bg,gacha_random_reward_icon,,0,11,15,45,65,75,65,75,125,157,,,UI_Meta_Star_Tap_No_Upgrade,UI_Meta_Star_Tap_Upgrade,UI_Meta_Star_Epic_VO,Reveal_epic,,characters.sc,starr_01_idle,starr_01_change,starr_01_final,offer_rarity_epic,TID_SHOP_STARR_DROP_EPIC,epic,,,,,,,,,,,,,,,,gatcha_summary_redirecter_brawler_box
